movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,movie_feature
a tale of three cities,Drama,Mabel Cheung,Wei Tang,Ching Wan Lau,Hailu Qin,Wei Tang Ching Wan Lau Hailu Qin Mabel Cheung Drama
gremlins,Comedy Fantasy Horror,Joe Dante,Phoebe Cates,Harry Carey Jr.,Zach Galligan,Phoebe Cates Harry Carey Jr. Zach Galligan Joe Dante Comedy Fantasy Horror
star wars: episode iv - a new hope,Action Adventure Fantasy Sci-Fi,George Lucas,Harrison Ford,Peter Cushing,Kenny Baker,Harrison Ford Peter Cushing Kenny Baker George Lucas Action Adventure Fantasy Sci-Fi
dirty grandpa,Comedy,Dan Mazer,Robert De Niro,Zoey Deutch,Jason Mantzoukas,Robert De Niro Zoey Deutch Jason Mantzoukas Dan Mazer Comedy
doctor zhivago,Drama Romance War,David Lean,Julie Christie,Klaus Kinski,Geraldine Chaplin,Julie Christie Klaus Kinski Geraldine Chaplin David Lean Drama Romance War
trash,Adventure Crime Drama Mystery Thriller,Stephen Daldry,Wagner Moura,Selton Mello,Daniel Zettel,Wagner Moura Selton Mello Daniel Zettel Stephen Daldry Adventure Crime Drama Mystery Thriller
high school musical 3: senior year,Comedy Drama Family Music Musical Romance,Kenny Ortega,Lucas Grabeel,Matt Prokop,Corbin Bleu,Lucas Grabeel Matt Prokop Corbin Bleu Kenny Ortega Comedy Drama Family Music Musical Romance
the fighter,Biography Drama Sport,David O. Russell,Christian Bale,Jack McGee,Melissa McMeekin,Christian Bale Jack McGee Melissa McMeekin David O. Russell Biography Drama Sport
jackass number two,Action Comedy Documentary,Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Bam Margera Steve-O Chris Pontius Jeff Tremaine Action Comedy Documentary
my cousin vinny,Comedy Crime,Jonathan Lynn,Fred Gwynne,Bruce McGill,Lane Smith,Fred Gwynne Bruce McGill Lane Smith Jonathan Lynn Comedy Crime
if i stay,Drama Fantasy Music Romance,R.J. Cutler,Chloë Grace Moretz,Mireille Enos,Stacy Keach,Chloë Grace Moretz Mireille Enos Stacy Keach R.J. Cutler Drama Fantasy Music Romance
drive hard,Action Comedy Crime,Brian Trenchard-Smith,Zoe Ventoura,Damien Garvey,Christopher Sommers,Zoe Ventoura Damien Garvey Christopher Sommers Brian Trenchard-Smith Action Comedy Crime
major league,Comedy Sport,David S. Ward,Corbin Bernsen,Tom Berenger,Rene Russo,Corbin Bernsen Tom Berenger Rene Russo David S. Ward Comedy Sport
st. trinian's,Comedy,Oliver Parker,Lily Cole,Rupert Everett,Tamsin Egerton,Lily Cole Rupert Everett Tamsin Egerton Oliver Parker Comedy
phone booth,Crime Thriller,Joel Schumacher,Radha Mitchell,John Enos III,Richard T. Jones,Radha Mitchell John Enos III Richard T. Jones Joel Schumacher Crime Thriller
a walk to remember,Drama Romance,Adam Shankman,Lauren German,Peter Coyote,Paz de la Huerta,Lauren German Peter Coyote Paz de la Huerta Adam Shankman Drama Romance
dead man walking,Crime Drama,Tim Robbins,Lois Smith,Celia Weston,Robert Prosky,Lois Smith Celia Weston Robert Prosky Tim Robbins Crime Drama
cruel intentions,Drama Romance,Roger Kumble,Sarah Michelle Gellar,Sean Patrick Thomas,Eric Mabius,Sarah Michelle Gellar Sean Patrick Thomas Eric Mabius Roger Kumble Drama Romance
saw vi,Horror Mystery,Kevin Greutert,Costas Mandylor,Shawnee Smith,George Newbern,Costas Mandylor Shawnee Smith George Newbern Kevin Greutert Horror Mystery
the secret life of bees,Drama,Gina Prince-Bythewood,Nate Parker,Alicia Keys,Jennifer Hudson,Nate Parker Alicia Keys Jennifer Hudson Gina Prince-Bythewood Drama
corky romano,Comedy Crime,Rob Pritts,Vincent Pastore,Vinessa Shaw,Peter Berg,Vincent Pastore Vinessa Shaw Peter Berg Rob Pritts Comedy Crime
raising cain,Crime Drama Thriller,Brian De Palma,Steven Bauer,Gabrielle Carteris,Gregg Henry,Steven Bauer Gabrielle Carteris Gregg Henry Brian De Palma Crime Drama Thriller
f.i.s.t.,Drama,Norman Jewison,Sylvester Stallone,Peter Boyle,Rod Steiger,Sylvester Stallone Peter Boyle Rod Steiger Norman Jewison Drama
invaders from mars,Horror Sci-Fi,Tobe Hooper,Louise Fletcher,Bud Cort,William Bassett,Louise Fletcher Bud Cort William Bassett Tobe Hooper Horror Sci-Fi
brooklyn,Drama Romance,John Crowley,Julie Walters,Fiona Glascott,Eva Birthistle,Julie Walters Fiona Glascott Eva Birthistle John Crowley Drama Romance
barry lyndon,Adventure Drama History War,Stanley Kubrick,Ryan O'Neal,Steven Berkoff,Hardy Krüger,Ryan O'Neal Steven Berkoff Hardy Krüger Stanley Kubrick Adventure Drama History War
out cold,Comedy Sport,Brendan Malloy,Lee Majors,Jason London,Thomas Lennon,Lee Majors Jason London Thomas Lennon Brendan Malloy Comedy Sport
the ladies man,Comedy,Reginald Hudlin,Will Ferrell,John Witherspoon,Tim Meadows,Will Ferrell John Witherspoon Tim Meadows Reginald Hudlin Comedy
quartet,Comedy Drama,Dustin Hoffman,Luke Newberry,Sheridan Smith,Pauline Collins,Luke Newberry Sheridan Smith Pauline Collins Dustin Hoffman Comedy Drama
tomcats,Comedy,Gregory Poirier,Shannon Elizabeth,Jake Busey,David Ogden Stiers,Shannon Elizabeth Jake Busey David Ogden Stiers Gregory Poirier Comedy
frailty,Crime Drama Thriller,Bill Paxton,Matthew McConaughey,Powers Boothe,Matt O'Leary,Matthew McConaughey Powers Boothe Matt O'Leary Bill Paxton Crime Drama Thriller
woman in gold,Biography Drama History,Simon Curtis,Ryan Reynolds,Frances Fisher,Elizabeth McGovern,Ryan Reynolds Frances Fisher Elizabeth McGovern Simon Curtis Biography Drama History
kinsey,Biography Drama,Bill Condon,Liam Neeson,Oliver Platt,Dylan Baker,Liam Neeson Oliver Platt Dylan Baker Bill Condon Biography Drama
army of darkness,Comedy Fantasy Horror,Sam Raimi,Patricia Tallman,Bridget Fonda,Embeth Davidtz,Patricia Tallman Bridget Fonda Embeth Davidtz Sam Raimi Comedy Fantasy Horror
slackers,Comedy Romance,Dewey Nicks,Jaime King,Gedde Watanabe,Jim Rash,Jaime King Gedde Watanabe Jim Rash Dewey Nicks Comedy Romance
what's eating gilbert grape,Drama Romance,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Kevin Tighe,Johnny Depp Leonardo DiCaprio Kevin Tighe Lasse Hallström Drama Romance
the visual bible: the gospel of john,Biography Drama History,Philip Saville,Henry Ian Cusick,Alan Van Sprang,Scott Handy,Henry Ian Cusick Alan Van Sprang Scott Handy Philip Saville Biography Drama History
vera drake,Crime Drama,Mike Leigh,Eddie Marsan,Sally Hawkins,Imelda Staunton,Eddie Marsan Sally Hawkins Imelda Staunton Mike Leigh Crime Drama
the guru,Comedy Music Romance,Daisy von Scherler Mayer,Michael McKean,Dash Mihok,Jimi Mistry,Michael McKean Dash Mihok Jimi Mistry Daisy von Scherler Mayer Comedy Music Romance
the perez family,Comedy Drama Romance,Mira Nair,Anjelica Huston,Chazz Palminteri,Vincent Gallo,Anjelica Huston Chazz Palminteri Vincent Gallo Mira Nair Comedy Drama Romance
inside llewyn davis,Drama Music,Ethan Coen,Justin Timberlake,Max Casella,Alex Karpovsky,Justin Timberlake Max Casella Alex Karpovsky Ethan Coen Drama Music
return to the blue lagoon,Adventure Drama Romance,William A. Graham,Milla Jovovich,Wayne Pygram,Lisa Pelikan,Milla Jovovich Wayne Pygram Lisa Pelikan William A. Graham Adventure Drama Romance
the molly maguires,Drama History,Martin Ritt,Frank Finlay,Anthony Zerbe,Samantha Eggar,Frank Finlay Anthony Zerbe Samantha Eggar Martin Ritt Drama History
romance & cigarettes,Comedy Musical Romance,John Turturro,Kate Winslet,Steve Buscemi,Eddie Izzard,Kate Winslet Steve Buscemi Eddie Izzard John Turturro Comedy Musical Romance
copying beethoven,Biography Drama Music,Agnieszka Holland,Phyllida Law,David Kennedy,Angus Barnett,Phyllida Law David Kennedy Angus Barnett Agnieszka Holland Biography Drama Music
poltergeist,Fantasy Horror,Tobe Hooper,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson,Heather O'Rourke Zelda Rubinstein Craig T. Nelson Tobe Hooper Fantasy Horror
brighton rock,Crime Drama Thriller,Rowan Joffe,Sam Riley,Sean Harris,Geoff Bell,Sam Riley Sean Harris Geoff Bell Rowan Joffe Crime Drama Thriller
saw v,Horror Mystery,David Hackl,Julie Benz,Costas Mandylor,Scott Patterson,Julie Benz Costas Mandylor Scott Patterson David Hackl Horror Mystery
machine gun mccain,Crime Drama Thriller,Giuliano Montaldo,John Cassavetes,Gena Rowlands,Britt Ekland,John Cassavetes Gena Rowlands Britt Ekland Giuliano Montaldo Crime Drama Thriller
lol,Comedy Drama Romance,Lisa Azuelos,Nora Dunn,Lina Esco,Alix Freihage,Nora Dunn Lina Esco Alix Freihage Lisa Azuelos Comedy Drama Romance
jindabyne,Crime Drama Mystery Thriller,Ray Lawrence,John Howard,Deborra-Lee Furness,Max Cullen,John Howard Deborra-Lee Furness Max Cullen Ray Lawrence Crime Drama Mystery Thriller
kabhi alvida naa kehna,Drama,Karan Johar,Shah Rukh Khan,John Abraham,Preity Zinta,Shah Rukh Khan John Abraham Preity Zinta Karan Johar Drama
an ideal husband,Comedy Romance,Oliver Parker,Minnie Driver,Rupert Everett,Jeremy Northam,Minnie Driver Rupert Everett Jeremy Northam Oliver Parker Comedy Romance
the last days on mars,Horror Sci-Fi Thriller,Ruairi Robinson,Romola Garai,Olivia Williams,Tom Cullen,Romola Garai Olivia Williams Tom Cullen Ruairi Robinson Horror Sci-Fi Thriller
darkness,Horror,Jaume Balagueró,Lena Olin,Giancarlo Giannini,Francesc Pagès,Lena Olin Giancarlo Giannini Francesc Pagès Jaume Balagueró Horror
2001: a space odyssey,Adventure Mystery Sci-Fi,Stanley Kubrick,Keir Dullea,Gary Lockwood,Glenn Beck,Keir Dullea Gary Lockwood Glenn Beck Stanley Kubrick Adventure Mystery Sci-Fi
e.t. the extra-terrestrial,Family Sci-Fi,Steven Spielberg,Henry Thomas,Dee Wallace,Peter Coyote,Henry Thomas Dee Wallace Peter Coyote Steven Spielberg Family Sci-Fi
in the land of women,Comedy Drama Romance,Jon Kasdan,Kristen Stewart,Elena Anaya,Dustin Milligan,Kristen Stewart Elena Anaya Dustin Milligan Jon Kasdan Comedy Drama Romance
the blue butterfly,Adventure Drama,Léa Pool,William Hurt,Marc Donato,Raoul Max Trujillo,William Hurt Marc Donato Raoul Max Trujillo Léa Pool Adventure Drama
there goes my baby,Comedy Drama,Floyd Mutrux,Ricky Schroder,Kelli Williams,Seymour Cassel,Ricky Schroder Kelli Williams Seymour Cassel Floyd Mutrux Comedy Drama
lovesick,Comedy,unknown,Antonia Thomas,Johnny Flynn,Hannah Britland,Antonia Thomas Johnny Flynn Hannah Britland unknown Comedy
housefull,Comedy,Sajid Khan,Arjun Rampal,Boman Irani,Riteish Deshmukh,Arjun Rampal Boman Irani Riteish Deshmukh Sajid Khan Comedy
september dawn,Drama History Romance Western,Christopher Cain,Jon Gries,Taylor Handley,Trent Ford,Jon Gries Taylor Handley Trent Ford Christopher Cain Drama History Romance Western
for greater glory: the true story of cristiada,Drama History War,Dean Wright,Santiago Cabrera,Eduardo Verástegui,Catalina Sandino Moreno,Santiago Cabrera Eduardo Verástegui Catalina Sandino Moreno Dean Wright Drama History War
la famille bélier,Comedy Drama Music,Eric Lartigau,Karin Viard,Eric Elmosnino,François Damiens,Karin Viard Eric Elmosnino François Damiens Eric Lartigau Comedy Drama Music
good will hunting,Drama,Gus Van Sant,Robin Williams,Matt Damon,Minnie Driver,Robin Williams Matt Damon Minnie Driver Gus Van Sant Drama
misconduct,Drama Thriller,Shintaro Shimosawa,Al Pacino,Anthony Hopkins,Glen Powell,Al Pacino Anthony Hopkins Glen Powell Shintaro Shimosawa Drama Thriller
saw iii,Horror Mystery,Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Leigh Whannell,Costas Mandylor Shawnee Smith Leigh Whannell Darren Lynn Bousman Horror Mystery
stripes,Action Comedy War,Ivan Reitman,Bill Murray,Harold Ramis,Judge Reinhold,Bill Murray Harold Ramis Judge Reinhold Ivan Reitman Action Comedy War
bring it on,Comedy Sport,Peyton Reed,Kirsten Dunst,Lindsay Sloane,Clare Kramer,Kirsten Dunst Lindsay Sloane Clare Kramer Peyton Reed Comedy Sport
the purge: election year,Action Horror Sci-Fi Thriller,James DeMonaco,Frank Grillo,Joseph Julian Soria,Mykelti Williamson,Frank Grillo Joseph Julian Soria Mykelti Williamson James DeMonaco Action Horror Sci-Fi Thriller
she's all that,Comedy Romance,Robert Iscove,Paul Walker,Clea DuVall,Kieran Culkin,Paul Walker Clea DuVall Kieran Culkin Robert Iscove Comedy Romance
precious,Drama,Lee Daniels,Mo'Nique,Gabourey Sidibe,Mariah Carey,Mo'Nique Gabourey Sidibe Mariah Carey Lee Daniels Drama
saw iv,Horror Mystery,Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Angus Macfadyen,Costas Mandylor Shawnee Smith Angus Macfadyen Darren Lynn Bousman Horror Mystery
white noise,Drama Horror Mystery Thriller,Geoffrey Sax,Deborah Kara Unger,Keegan Connor Tracy,Mike Dopud,Deborah Kara Unger Keegan Connor Tracy Mike Dopud Geoffrey Sax Drama Horror Mystery Thriller
madea's family reunion,Comedy Drama Romance,Tyler Perry,Boris Kodjoe,Cicely Tyson,Blair Underwood,Boris Kodjoe Cicely Tyson Blair Underwood Tyler Perry Comedy Drama Romance
the color of money,Drama Sport,Martin Scorsese,Tom Cruise,Bill Cobbs,Mary Elizabeth Mastrantonio,Tom Cruise Bill Cobbs Mary Elizabeth Mastrantonio Martin Scorsese Drama Sport
the longest day,Action Drama History War,Ken Annakin,Richard Burton,Richard Beymer,Eddie Albert,Richard Burton Richard Beymer Eddie Albert Ken Annakin Action Drama History War
the mighty ducks,Comedy Drama Family Sport,Stephen Herek,Lane Smith,Shaun Weiss,Elden Henson,Lane Smith Shaun Weiss Elden Henson Stephen Herek Comedy Drama Family Sport
happy gilmore,Comedy Sport,Dennis Dugan,Adam Sandler,Kevin Nealon,Frances Bay,Adam Sandler Kevin Nealon Frances Bay Dennis Dugan Comedy Sport
jeepers creepers,Horror Mystery,Victor Salva,Eileen Brennan,Patricia Belcher,Jonathan Breck,Eileen Brennan Patricia Belcher Jonathan Breck Victor Salva Horror Mystery
bill & ted's excellent adventure,Adventure Comedy Music Sci-Fi,Stephen Herek,Keanu Reeves,George Carlin,Al Leong,Keanu Reeves George Carlin Al Leong Stephen Herek Adventure Comedy Music Sci-Fi
oliver!,Drama Family Musical,Carol Reed,Oliver Reed,Ron Moody,Jack Wild,Oliver Reed Ron Moody Jack Wild Carol Reed Drama Family Musical
the best exotic marigold hotel,Comedy Drama,John Madden,Tom Wilkinson,Penelope Wilton,Celia Imrie,Tom Wilkinson Penelope Wilton Celia Imrie John Madden Comedy Drama
recess: school's out,Animation Comedy Family Mystery Sci-Fi,Chuck Sheetz,Diedrich Bader,Andrew Lawrence,Dabney Coleman,Diedrich Bader Andrew Lawrence Dabney Coleman Chuck Sheetz Animation Comedy Family Mystery Sci-Fi
mad max beyond thunderdome,Action Adventure Sci-Fi Thriller,George Miller,Tina Turner,Bruce Spence,Angelo Rossitto,Tina Turner Bruce Spence Angelo Rossitto George Miller Action Adventure Sci-Fi Thriller
commando,Action Adventure Thriller,Mark L. Lester,Bill Duke,Vernon Wells,Rae Dawn Chong,Bill Duke Vernon Wells Rae Dawn Chong Mark L. Lester Action Adventure Thriller
the boy,Horror Mystery Thriller,William Brent Bell,Lauren Cohan,Rupert Evans,Stephanie Lemelin,Lauren Cohan Rupert Evans Stephanie Lemelin William Brent Bell Horror Mystery Thriller
devil,Horror Mystery Thriller,John Erick Dowdle,Bojana Novakovic,Bokeem Woodbine,Geoffrey Arend,Bojana Novakovic Bokeem Woodbine Geoffrey Arend John Erick Dowdle Horror Mystery Thriller
friday after next,Comedy Drama,Marcus Raboy,John Witherspoon,Mike Epps,Katt Williams,John Witherspoon Mike Epps Katt Williams Marcus Raboy Comedy Drama
insidious: chapter 3,Fantasy Horror Thriller,Leigh Whannell,Lin Shaye,Hayley Kiyoko,Leigh Whannell,Lin Shaye Hayley Kiyoko Leigh Whannell Leigh Whannell Fantasy Horror Thriller
the last dragon,Action Comedy Drama Music,Michael Schultz,Mike Starr,Vanity,Keshia Knight Pulliam,Mike Starr Vanity Keshia Knight Pulliam Michael Schultz Action Comedy Drama Music
snatch,Comedy Crime,Guy Ritchie,Jason Statham,Brad Pitt,Jason Flemyng,Jason Statham Brad Pitt Jason Flemyng Guy Ritchie Comedy Crime
the lawnmower man,Horror Sci-Fi,Brett Leonard,Jeff Fahey,Austin O'Brien,Troy Evans,Jeff Fahey Austin O'Brien Troy Evans Brett Leonard Horror Sci-Fi
nick and norah's infinite playlist,Comedy Drama Music Romance,Peter Sollett,Ari Graynor,Alexis Dziena,Aaron Yoo,Ari Graynor Alexis Dziena Aaron Yoo Peter Sollett Comedy Drama Music Romance
dogma,Adventure Comedy Drama Fantasy,Kevin Smith,Matt Damon,Janeane Garofalo,George Carlin,Matt Damon Janeane Garofalo George Carlin Kevin Smith Adventure Comedy Drama Fantasy
the banger sisters,Comedy Drama,Bob Dolman,Erika Christensen,Eva Amurri Martino,Sal Lopez,Erika Christensen Eva Amurri Martino Sal Lopez Bob Dolman Comedy Drama
twilight zone: the movie,Fantasy Horror Sci-Fi,Joe Dante,Albert Brooks,Al Leong,Vic Morrow,Albert Brooks Al Leong Vic Morrow Joe Dante Fantasy Horror Sci-Fi
road house,Action Thriller,Rowdy Herrington,Ben Gazzara,Kevin Tighe,Kelly Lynch,Ben Gazzara Kevin Tighe Kelly Lynch Rowdy Herrington Action Thriller
a low down dirty shame,Action Comedy Crime,Keenen Ivory Wayans,Jada Pinkett Smith,Salli Richardson-Whitfield,Charles S. Dutton,Jada Pinkett Smith Salli Richardson-Whitfield Charles S. Dutton Keenen Ivory Wayans Action Comedy Crime
swimfan,Drama Thriller,John Polson,Erika Christensen,Shiri Appleby,Jason Ritter,Erika Christensen Shiri Appleby Jason Ritter John Polson Drama Thriller
employee of the month,Comedy Romance,Greg Coolidge,Dane Cook,Danny Woodburn,Jessica Simpson,Dane Cook Danny Woodburn Jessica Simpson Greg Coolidge Comedy Romance
can't hardly wait,Comedy Romance,Harry Elfont,Ethan Embry,Lauren Ambrose,Charlie Korsmo,Ethan Embry Lauren Ambrose Charlie Korsmo Harry Elfont Comedy Romance
the outsiders,Crime Drama,Francis Ford Coppola,Tom Cruise,William Smith,Tom Waits,Tom Cruise William Smith Tom Waits Francis Ford Coppola Crime Drama
pete's dragon,Adventure Family Fantasy,David Lowery,Bryce Dallas Howard,Oona Laurence,Isiah Whitlock Jr.,Bryce Dallas Howard Oona Laurence Isiah Whitlock Jr. David Lowery Adventure Family Fantasy
the dead zone,Horror Sci-Fi Thriller,David Cronenberg,Tom Skerritt,Herbert Lom,Anthony Zerbe,Tom Skerritt Herbert Lom Anthony Zerbe David Cronenberg Horror Sci-Fi Thriller
sinister 2,Horror Mystery Thriller,Ciarán Foy,Laila Haley,James Ransone,Jaden Klein,Laila Haley James Ransone Jaden Klein Ciarán Foy Horror Mystery Thriller
sparkle,Drama Music,Salim Akil,Omari Hardwick,Curtis Armstrong,Mike Epps,Omari Hardwick Curtis Armstrong Mike Epps Salim Akil Drama Music
valentine,Horror Mystery Thriller,Jamie Blanks,Marley Shelton,Jessica Capshaw,Johnny Whitworth,Marley Shelton Jessica Capshaw Johnny Whitworth Jamie Blanks Horror Mystery Thriller
the fourth kind,Mystery Sci-Fi Thriller,Olatunde Osunsanmi,Milla Jovovich,Will Patton,Hakeem Kae-Kazim,Milla Jovovich Will Patton Hakeem Kae-Kazim Olatunde Osunsanmi Mystery Sci-Fi Thriller
a prairie home companion,Comedy Drama Music,Robert Altman,Meryl Streep,Virginia Madsen,Lily Tomlin,Meryl Streep Virginia Madsen Lily Tomlin Robert Altman Comedy Drama Music
sugar hill,Drama Thriller,Leon Ichaso,Khandi Alexander,Clarence Williams III,Steve Harris,Khandi Alexander Clarence Williams III Steve Harris Leon Ichaso Drama Thriller
invasion u.s.a.,Action Thriller,Joseph Zito,Billy Drago,Richard Lynch,Eddie Jones,Billy Drago Richard Lynch Eddie Jones Joseph Zito Action Thriller
roll bounce,Comedy Drama Music Romance,Malcolm D. Lee,Jurnee Smollett-Bell,Brandon T. Jackson,Shad Moss,Jurnee Smollett-Bell Brandon T. Jackson Shad Moss Malcolm D. Lee Comedy Drama Music Romance
rushmore,Comedy Drama,Wes Anderson,Bill Murray,Connie Nielsen,Olivia Williams,Bill Murray Connie Nielsen Olivia Williams Wes Anderson Comedy Drama
skyline,Action Sci-Fi Thriller,Colin Strause,David Zayas,Donald Faison,Brittany Daniel,David Zayas Donald Faison Brittany Daniel Colin Strause Action Sci-Fi Thriller
the second best exotic marigold hotel,Comedy Drama,John Madden,Tina Desai,Celia Imrie,Ronald Pickup,Tina Desai Celia Imrie Ronald Pickup John Madden Comedy Drama
kit kittredge: an american girl,Drama Family,Patricia Rozema,Julia Ormond,Jane Krakowski,Willow Smith,Julia Ormond Jane Krakowski Willow Smith Patricia Rozema Drama Family
the perfect man,Comedy Family Romance,Mark Rosman,Ben Feldman,Chris Noth,Vanessa Lengies,Ben Feldman Chris Noth Vanessa Lengies Mark Rosman Comedy Family Romance
mo' better blues,Drama Music Romance,Spike Lee,Denzel Washington,Nicholas Turturro,Charlie Murphy,Denzel Washington Nicholas Turturro Charlie Murphy Spike Lee Drama Music Romance
kung pow: enter the fist,Action Comedy,Steve Oedekerk,Steve Oedekerk,Simon Rhee,Jennifer Tung,Steve Oedekerk Simon Rhee Jennifer Tung Steve Oedekerk Action Comedy
tremors,Comedy Horror Sci-Fi,Ron Underwood,Reba McEntire,Ariana Richards,Michael Gross,Reba McEntire Ariana Richards Michael Gross Ron Underwood Comedy Horror Sci-Fi
wrong turn,Horror Thriller,Rob Schmidt,Kevin Zegers,Lindy Booth,Julian Richings,Kevin Zegers Lindy Booth Julian Richings Rob Schmidt Horror Thriller
the long riders,Western,Walter Hill,Dennis Quaid,David Carradine,Randy Quaid,Dennis Quaid David Carradine Randy Quaid Walter Hill Western
the corruptor,Action Crime Drama Mystery Thriller,James Foley,Byron Mann,Paul Ben-Victor,Kim Chan,Byron Mann Paul Ben-Victor Kim Chan James Foley Action Crime Drama Mystery Thriller
mud,Drama,Jeff Nichols,Matthew McConaughey,Tye Sheridan,Sam Shepard,Matthew McConaughey Tye Sheridan Sam Shepard Jeff Nichols Drama
reno 911!: miami,Comedy Crime,Robert Ben Garant,Wendi McLendon-Covey,Thomas Lennon,Carlos Alazraqui,Wendi McLendon-Covey Thomas Lennon Carlos Alazraqui Robert Ben Garant Comedy Crime
one direction: this is us,Documentary Music,Morgan Spurlock,Harry Styles,Zayn Malik,Niall Horan,Harry Styles Zayn Malik Niall Horan Morgan Spurlock Documentary Music
"the goods: live hard, sell hard",Comedy,Neal Brennan,Rob Riggle,Noureen DeWulf,Charles Napier,Rob Riggle Noureen DeWulf Charles Napier Neal Brennan Comedy
hey arnold! the movie,Adventure Animation Comedy Family,Tuck Tucker,Jennifer Jason Leigh,Vincent Schiavelli,Paul Sorvino,Jennifer Jason Leigh Vincent Schiavelli Paul Sorvino Tuck Tucker Adventure Animation Comedy Family
my week with marilyn,Biography Drama,Simon Curtis,Eddie Redmayne,Toby Jones,Julia Ormond,Eddie Redmayne Toby Jones Julia Ormond Simon Curtis Biography Drama
the matador,Comedy Crime Drama Thriller,Richard Shepard,Adam Scott,Philip Baker Hall,Hope Davis,Adam Scott Philip Baker Hall Hope Davis Richard Shepard Comedy Crime Drama Thriller
love jones,Drama Romance,Theodore Witcher,Leonard Roberts,Nia Long,Larenz Tate,Leonard Roberts Nia Long Larenz Tate Theodore Witcher Drama Romance
end of the spear,Adventure Drama,Jim Hanon,Chase Ellison,Chad Allen,Jack Guzman,Chase Ellison Chad Allen Jack Guzman Jim Hanon Adventure Drama
get over it,Comedy Romance,Tommy O'Haver,Mila Kunis,Kirsten Dunst,Carmen Electra,Mila Kunis Kirsten Dunst Carmen Electra Tommy O'Haver Comedy Romance
office space,Comedy,Mike Judge,Gary Cole,Stephen Root,Diedrich Bader,Gary Cole Stephen Root Diedrich Bader Mike Judge Comedy
drop dead gorgeous,Comedy Romance Thriller,Michael Patrick Jann,Kirsten Dunst,Kirstie Alley,Ellen Barkin,Kirsten Dunst Kirstie Alley Ellen Barkin Michael Patrick Jann Comedy Romance Thriller
big eyes,Biography Crime Drama Romance,Tim Burton,Christoph Waltz,Danny Huston,Jon Polito,Christoph Waltz Danny Huston Jon Polito Tim Burton Biography Crime Drama Romance
very bad things,Comedy Crime Thriller,Peter Berg,Jon Favreau,Daniel Stern,Jeanne Tripplehorn,Jon Favreau Daniel Stern Jeanne Tripplehorn Peter Berg Comedy Crime Thriller
sleepover,Comedy Romance,Joe Nussbaum,Steve Carell,Alexa PenaVega,Hunter Parrish,Steve Carell Alexa PenaVega Hunter Parrish Joe Nussbaum Comedy Romance
body double,Mystery Thriller,Brian De Palma,Melanie Griffith,Dennis Franz,Gregg Henry,Melanie Griffith Dennis Franz Gregg Henry Brian De Palma Mystery Thriller
macgruber,Action Comedy Romance,Jorma Taccone,Jasper Cole,Will Forte,Powers Boothe,Jasper Cole Will Forte Powers Boothe Jorma Taccone Action Comedy Romance
dirty pretty things,Crime Drama Thriller,Stephen Frears,Sophie Okonedo,Benedict Wong,Sergi López,Sophie Okonedo Benedict Wong Sergi López Stephen Frears Crime Drama Thriller
movie 43,Comedy,Elizabeth Banks,Hugh Jackman,Kate Winslet,Seth MacFarlane,Hugh Jackman Kate Winslet Seth MacFarlane Elizabeth Banks Comedy
the tourist,Action Romance Thriller,Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,Johnny Depp Angelina Jolie Pitt Rufus Sewell Florian Henckel von Donnersmarck Action Romance Thriller
over her dead body,Comedy Fantasy Romance,Jeff Lowell,Stephen Root,William Morgan Sheppard,Wendi McLendon-Covey,Stephen Root William Morgan Sheppard Wendi McLendon-Covey Jeff Lowell Comedy Fantasy Romance
seeking a friend for the end of the world,Adventure Comedy Drama Romance Sci-Fi,Lorene Scafaria,Steve Carell,Mark Moses,Rob Huebel,Steve Carell Mark Moses Rob Huebel Lorene Scafaria Adventure Comedy Drama Romance Sci-Fi
cedar rapids,Comedy,Miguel Arteta,Kurtwood Smith,Stephen Root,Alia Shawkat,Kurtwood Smith Stephen Root Alia Shawkat Miguel Arteta Comedy
bones,Comedy Crime Drama Mystery Romance,unknown,Michaela Conlin,T.J. Thyne,Tamara Taylor,Michaela Conlin T.J. Thyne Tamara Taylor unknown Comedy Crime Drama Mystery Romance
american history x,Crime Drama,Tony Kaye,Ethan Suplee,Beverly D'Angelo,Stacy Keach,Ethan Suplee Beverly D'Angelo Stacy Keach Tony Kaye Crime Drama
the collection,Action Horror Thriller,Marcus Dunstan,Daniel Sharman,Johanna Braddy,Lee Tergesen,Daniel Sharman Johanna Braddy Lee Tergesen Marcus Dunstan Action Horror Thriller
teacher's pet,Animation Comedy Family Fantasy Musical,Timothy Björklund,Nathan Lane,Kelsey Grammer,Jerry Stiller,Nathan Lane Kelsey Grammer Jerry Stiller Timothy Björklund Animation Comedy Family Fantasy Musical
the red violin,Drama Music Mystery Romance,François Girard,Johannes Silberschneider,Clotilde Mollet,Carlo Cecchi,Johannes Silberschneider Clotilde Mollet Carlo Cecchi François Girard Drama Music Mystery Romance
